link,floor,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,pred_price,diff,marker
https://krasnodar.cian.ru/sale/flat/273450154/,21,1,26.7,2950000,2022,24.9,-1.0,3656257.995547106,23.940949001596813,overpriced
https://krasnodar.cian.ru/sale/flat/277855736/,5,1,27.7,3100000,2016,16.7,-1.0,3548444.7118579815,14.46595844703166,overpriced
https://sochi.cian.ru/sale/flat/282147830/,3,1,18.0,3150000,1978,15.0,2.0,3547924.836530908,12.6325344930447,overpriced
https://krasnodar.cian.ru/sale/flat/281857131/,18,1,24.0,3400000,2017,11.0,9.0,3677393.771521736,8.158640338874585,overpriced
https://krasnodar.cian.ru/sale/flat/275561010/,10,1,44.7,3400000,2022,21.9,10.0,4134284.1039450066,21.596591292500197,overpriced
https://krasnodar.cian.ru/sale/flat/279417510/,16,1,37.15,3500000,2014,22.1,-1.0,3840491.443779968,9.728326965141948,overpriced
https://krasnodar.cian.ru/sale/flat/276861849/,17,1,38.0,3500000,2021,16.5,10.0,3944943.3431153563,12.712666946153037,overpriced
https://krasnodar.cian.ru/sale/flat/279052555/,2,1,35.8,3540000,2022,19.0,7.1,3658677.653084483,3.352476075832853,overpriced
https://krasnodar.cian.ru/sale/flat/281201144/,3,-1,41.0,3590000,2020,32.0,4.0,4044138.9758070763,12.650110746715217,overpriced
https://krasnodar.cian.ru/sale/flat/281305183/,6,1,37.6,3600000,2022,20.0,8.0,3847082.011922672,6.86338922007422,overpriced
https://krasnodar.cian.ru/sale/flat/283249826/,5,1,39.6,3600000,2011,21.0,9.6,3929872.1941720853,9.163116504780145,overpriced
https://krasnodar.cian.ru/sale/flat/281492570/,3,2,53.5,3700000,2019,25.0,17.0,4504448.11918396,21.74184105902596,overpriced
https://krasnodar.cian.ru/sale/flat/283087271/,11,1,38.5,3700000,2016,19.5,10.5,3933296.406124701,6.305308273640562,overpriced
https://krasnodar.cian.ru/sale/flat/279399180/,24,1,36.6,3700000,2021,11.0,15.6,4120596.3083251156,11.367467792570691,overpriced
https://krasnodar.cian.ru/sale/flat/279898731/,1,3,45.0,3700000,-1,30.0,9.0,3292143.6409028294,-11.023144840464072,underpriced
https://krasnodar.cian.ru/sale/flat/268978759/,7,2,54.0,3750000,2021,26.3,15.0,4594742.865974781,22.526476425994165,overpriced
https://krasnodar.cian.ru/sale/flat/276284735/,16,1,22.83,3780000,2019,18.6,-1.0,3585153.310363035,-5.154674329020233,underpriced
https://krasnodar.cian.ru/sale/flat/283272353/,4,1,29.1,3800000,1963,17.5,5.6,3684459.398532442,-3.04054214388311,underpriced
https://sochi.cian.ru/sale/flat/280299456/,3,1,15.0,3800000,1982,15.0,-1.0,3546321.9403794026,-6.675738411068353,underpriced
https://krasnodar.cian.ru/sale/flat/279459524/,4,1,40.8,3800000,2012,18.0,10.0,3986066.957190779,4.896498873441554,overpriced
https://krasnodar.cian.ru/sale/flat/277518320/,5,2,43.0,3800000,1969,28.0,6.0,4104443.298912683,8.01166576086008,overpriced
https://krasnodar.cian.ru/sale/flat/275482695/,16,2,49.3,3850000,-1,29.7,14.2,4170710.967046728,8.330154988226699,overpriced
https://krasnodar.cian.ru/sale/flat/281186591/,3,1,30.2,3850000,2021,15.6,5.0,3571703.8210620587,-7.228472180206269,underpriced
https://krasnodar.cian.ru/sale/flat/281097129/,14,1,40.0,3900000,2022,18.0,12.0,4075399.615103215,4.497426028287563,overpriced
https://krasnodar.cian.ru/sale/flat/275527312/,1,1,33.0,3900000,-1,17.0,-1.0,3754900.8594810423,-3.720490782537378,underpriced
https://krasnodar.cian.ru/sale/flat/280037750/,6,2,52.4,3999000,1989,31.9,8.6,4315034.663079463,7.902842287558463,overpriced
https://krasnodar.cian.ru/sale/flat/268041093/,9,1,32.2,3990000,-1,14.0,8.5,3770887.9519736487,-5.4915300257230895,underpriced
https://krasnodar.cian.ru/sale/flat/280682623/,9,1,23.0,3950000,2019,19.7,-1.0,3540740.160021303,-10.361008607055615,underpriced
https://krasnodar.cian.ru/sale/flat/277937063/,15,2,43.4,3950000,2021,16.3,18.5,4400443.134481558,11.403623657760955,overpriced
https://krasnodar.cian.ru/sale/flat/275184684/,1,2,42.0,4000000,1956,28.0,5.0,3642691.652866162,-8.932708678345952,underpriced
https://krasnodar.cian.ru/sale/flat/256963433/,1,3,61.1,4000000,1975,37.5,14.4,4270879.617214747,6.771990430368669,overpriced
https://krasnodar.cian.ru/sale/flat/282496306/,2,2,44.5,4100000,1970,30.5,5.6,3840709.965954376,-6.32414717184449,underpriced
https://krasnodar.cian.ru/sale/flat/282460164/,1,1,38.3,4100000,2007,19.6,10.3,3693055.974304552,-9.925464041352384,underpriced
https://krasnodar.cian.ru/sale/flat/278667855/,7,1,26.3,4100000,2020,20.2,-1.0,3568416.3727654354,-12.965454322794258,underpriced
https://krasnodar.cian.ru/sale/flat/281892651/,17,1,29.5,4100000,2014,20.0,5.0,3632277.566723036,-11.40786422626741,underpriced
https://krasnodar.cian.ru/sale/flat/282823888/,2,1,36.0,4190000,2017,17.9,9.5,3698659.3004469275,-11.726508342555428,underpriced
https://krasnodar.cian.ru/sale/flat/272534783/,2,1,39.03,4150000,2015,19.1,12.2,3790911.3902514772,-8.652737584301752,underpriced
https://krasnodar.cian.ru/sale/flat/282504383/,2,1,37.1,4200000,2015,16.0,12.0,3719648.646591465,-11.436936985917502,underpriced
https://novorossiysk.cian.ru/sale/flat/282066143/,4,1,30.0,4200000,2020,26.0,4.0,3650600.1474350304,-13.080948870594513,underpriced
https://krasnodar.cian.ru/sale/flat/273959488/,4,1,34.5,4200000,1980,20.0,9.0,3762542.3896478405,-10.41565738933713,underpriced
https://krasnodar.cian.ru/sale/flat/264656847/,3,3,69.0,4200000,1973,49.0,10.0,4059936.457621171,-3.3348462471149727,underpriced
https://krasnodar.cian.ru/sale/flat/275999501/,6,1,38.89,4200000,2002,15.6,11.4,3856793.9542412623,-8.171572518065183,underpriced
https://krasnodar.cian.ru/sale/flat/274139395/,4,1,38.0,4200000,2014,16.3,14.1,3996163.138528534,-4.853258606463471,underpriced
https://krasnodar.cian.ru/sale/flat/272467109/,13,1,36.0,4200000,-1,19.0,10.0,3857333.589241128,-8.15872406568743,underpriced
https://krasnodar.cian.ru/sale/flat/279808678/,9,1,25.0,4250000,2021,13.0,4.0,3568344.9014349477,-16.03894349564829,underpriced
https://novorossiysk.cian.ru/sale/flat/279491343/,3,1,40.3,4280000,2020,18.5,13.5,4041635.390406745,-5.569266579281658,underpriced
https://krasnodar.cian.ru/sale/flat/276966039/,3,1,36.0,4250000,2013,17.0,10.0,3752241.1039441526,-11.711974024843467,underpriced
https://krasnodar.cian.ru/sale/flat/282488724/,5,1,43.5,4300000,2015,18.6,13.3,4155263.8115274,-3.365957871455818,underpriced
https://krasnodar.cian.ru/sale/flat/271351959/,3,2,48.6,4300000,1990,26.3,7.3,4045266.5820079613,-5.9240329765590385,underpriced
https://anapa.cian.ru/sale/flat/275466077/,9,1,29.0,4300000,2020,16.1,8.0,3635925.086808924,-15.443602632350602,underpriced
https://krasnodar.cian.ru/sale/flat/283431392/,7,1,44.7,4300000,2012,21.9,10.3,4097453.5138935954,-4.710383397823362,underpriced
https://krasnodar.cian.ru/sale/flat/281705761/,3,1,38.19,4300000,2019,18.8,10.5,3815804.1581170815,-11.260368415881826,underpriced
https://krasnodar.cian.ru/sale/flat/274333682/,3,3,62.8,4300000,1975,46.1,5.6,4157247.325342338,-3.31982964320144,underpriced
https://krasnodar.cian.ru/sale/flat/278862033/,9,1,29.0,4300000,2020,18.0,-1.0,3581651.9002393144,-16.70576976187641,underpriced
https://krasnodar.cian.ru/sale/flat/280757359/,4,1,40.5,4350000,2014,25.0,12.0,4052951.5446974477,-6.8287001218977545,underpriced
https://krasnodar.cian.ru/sale/flat/283062098/,16,1,39.4,4400000,2022,20.0,11.4,4015983.7911822055,-8.727641109495329,underpriced
https://krasnodar.cian.ru/sale/flat/278585348/,1,2,73.0,4400000,2015,35.0,20.0,4810263.751491755,9.324176170267165,overpriced
https://krasnodar.cian.ru/sale/flat/275354335/,2,1,36.0,4400000,2021,15.0,10.0,3690305.693020178,-16.129416067723227,underpriced
