id,days_to_done_x,price_at_moment,1000_to_done,700_to_done,500_to_done,300_to_done,max_price_after_invest,increase,increase_procent,days_for_increase,status,200_to_done,100_to_done,50_to_done,0_to_done,-50_to_done,-100_to_done,risk,community,liter_num,done_date,developer,floor,area,num_beds,days_to_done_y
ecda2c4b-77e5-4e94-8c3a-f072903c33ed,1055,10224199,10630057,11380447,11500151,11820099,13449148,3224949,31.54,1155,long,12106685,13059710,13059710,13366975,13366975,13449148,good,"ЖК «URAL»,",,2024-12-15,ООО «СЗ ВЕРТИКАЛЬ»,3-6,91.0,3,1055
b7d52019-d3a4-4bba-9243-5c6b6e64ed8f,-41,3469042,3638400,3597435,3583642,3540516,3469042,0,0.0,9,short,3542721,3518594,3518594,3469042,3469042,3424904,bad,ЖК «Зеленодар»,1,2021-12-15,"ООО «Модо Капитал», ",1-8,26.0,1,-41
2875283d-9666-4ba0-83e1-119c0cf988d9,-41,3978840,4278564,4204739,4168571,4107060,3978840,0,0.0,9,short,4126220,4054518,4054518,3978840,3978840,3926214,bad,ЖК «Зеленодар»,1,2021-12-15,"ООО «Модо Капитал», ",1-8,31.0,1,-41
15acad57-bdb5-41bd-aec9-dc6b32928a18,-41,3974726,4412988,4294765,4228028,4130761,3974726,0,0.0,9,short,4131097,4061206,4061206,3974726,3974726,3931668,bad,ЖК «Зеленодар»,1,2021-12-15,"ООО «Модо Капитал», ",1-2,33.0,1,-41
8cec8102-237d-4061-86d7-90125a008fa5,-41,4262495,4769175,4640205,4567400,4461291,4262495,0,0.0,9,short,4446948,4356837,4356837,4262495,4262495,4224353,bad,ЖК «Зеленодар»,1,2021-12-15,"ООО «Модо Капитал», ",1-2,36.0,1,-41
b8784800-29d7-4524-bbd1-45d215be9de3,506,5011940,5176681,5094905,5011940,4925334,5011940,0,0.0,6,short,4909398,4788373,4788373,4683549,4683549,4632858,bad,ЖК «Зеленодар»,4A,2023-06-15,"ООО «Модо Капитал», ",1,40.0,1,506
ba16d146-e21d-409b-9448-21e30e62baf3,506,6998132,7707613,7131439,6998132,6890721,7459701,461569,6.6,556,long,6993879,7315935,7315935,7459701,7459701,7375767,riskey,ЖК «Зеленодар»,4A,2023-06-15,"ООО «Модо Капитал», ",1,70.0,2,506
569ae3a3-51d7-4d8b-895a-d56a1f7cd429,506,9017322,9843385,9195293,9017322,8790550,9648285,630963,7.0,606,long,8728117,9417434,9417434,9571329,9571329,9648285,good,ЖК «Зеленодар»,4A,2023-06-15,"ООО «Модо Капитал», ",2-4,91.0,3,506
ba727824-0962-4510-8d18-b4b313940f56,233,9743447,9340549,9605396,9455754,9743447,10641963,898516,9.22,333,short,9948315,10559716,10559716,10632860,10632860,10641963,good,ЖК «Fresh»,2,2022-09-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-9,89.0,3,233
7164f74a-b9f2-4fea-98cc-126f21da8826,233,9905061,9647959,9776024,9614613,9905061,10959250,1054189,10.64,333,short,10098466,10784442,10784442,10863339,10863339,10959250,good,ЖК «Fresh»,2,2022-09-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-9,96.0,3,233
e6759abd-4c54-4054-b187-8186a2e37b6e,233,9977066,9768443,9866702,9701928,9977066,11038622,1061556,10.64,333,short,10205269,10835105,10835105,10915646,10915646,11038622,good,ЖК «Fresh»,2,2022-09-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-9,98.0,3,233
330fedbd-85ea-411e-abca-62d1eb0c1fae,233,10931224,10702774,10807048,10632187,10931224,12085499,1154275,10.56,333,short,11173398,11959109,11959109,12044581,12044581,12085499,good,ЖК «Fresh»,2,2022-09-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-9,104.0,3,233
818c6fa2-afd6-4053-84c9-28272c4a4bfe,506,9669487,9728944,9832579,9669487,9962961,11058585,1389098,14.37,606,long,10188835,10881957,10881957,10961676,10961676,11058585,good,ЖК «Fresh»,3,2023-06-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,97.0,3,506
c1b387c3-7fe5-4053-9044-ab18b0a4f473,964,5112340,5112340,5546803,5549036,5778932,5810050,697710,13.65,764,long,5810050,5807780,5807780,5786144,5786144,5707975,good,ЖК «Fresh»,4,2024-09-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,40.0,1,964
d4ff95ec-94a3-4550-b5b5-88c3db39a818,1055,5066448,5258929,5710851,5704649,5951827,6014544,948096,18.71,1005,long,5994239,6014544,6014544,5991826,5991826,5909748,good,ЖК «Fresh»,4,2024-12-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,42.0,1,1055
07b9d056-15c8-4f41-905c-223a79bb061e,1055,4975210,5163109,5604597,5598542,5834186,5885903,910693,18.3,1005,long,5866082,5885903,5885903,5863727,5863727,5783603,good,ЖК «Fresh»,4,2024-12-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,41.0,1,1055
8642ebd7-491a-48c8-a22d-12da82f0a567,1055,6849271,7122095,7518397,7458087,7710962,8305834,1456563,21.27,1105,long,7894465,8303436,8303436,8305834,8305834,8145727,good,ЖК «Fresh»,4,2024-12-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,65.0,2,1055
2a2f4bd1-ec19-4109-9743-d38a048a7f48,1055,7252457,7533675,7797884,7715927,7999578,8476867,1224410,16.88,1105,long,8145782,8474394,8474394,8476867,8476867,8311833,good,ЖК «Fresh»,4,2024-12-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,67.0,2,1055
5a878850-9ec1-4846-a793-fb9b7d030bcf,1055,9185899,9556661,9814786,9660101,9957491,10952849,1766950,19.24,1155,long,10169265,10867829,10867829,10943439,10943439,10952849,good,ЖК «Fresh»,4,2024-12-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,92.0,3,1055
729244f5-7a38-4e5d-b920-76c0545a550f,1055,9101012,9483863,9764240,9604511,9891933,10992351,1891339,20.78,1155,long,10110612,10819365,10819365,10897440,10897440,10992351,good,ЖК «Fresh»,4,2024-12-15,ООО «АВА ДЕВЕЛОПМЕНТ ПЛЮС»,3-6,95.0,3,1055
9d8f800c-f9dc-44bc-b8e1-239132a95916,689,4436070,4139002,4436070,4466305,4635859,4635859,199789,4.5,389,long,4621794,4611221,4611221,4573932,4573932,4521360,riskey,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,30.0,1,689
41492226-ad33-4feb-b9ae-48639a87d24f,689,4756940,4411511,4756940,4768726,4949341,4998426,241486,5.08,639,long,4969421,4998426,4998426,4980035,4980035,4933809,riskey,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,34.0,1,689
07b526d7-c01d-40a4-9d34-34dc0fcfe7ea,689,5255106,4875038,5255106,5268279,5470143,5535300,280194,5.33,639,long,5499705,5535300,5535300,5514746,5514746,5440485,riskey,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,38.0,1,689
ff77d591-a2f3-4347-96b0-913234614fd6,689,5631657,5196348,5631657,5635495,5860421,5951731,320074,5.68,639,long,5902833,5951731,5951731,5929013,5929013,5846935,riskey,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,42.0,1,689
444e4396-b83f-4192-9dc6-12d63b421fd2,689,6643310,6331378,6643310,6610367,6840558,7354959,711649,10.71,739,long,7004299,7352819,7352819,7354959,7354959,7212094,good,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,58.0,2,689
8108a537-f42f-4fa3-becb-a2bd0448f1b2,689,7197898,6849415,7197898,7162115,7412149,7970895,772997,10.74,739,long,7590006,7968571,7968571,7970895,7970895,7815715,good,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,63.0,2,689
8eb8a4d2-ce46-4398-82c5-9ed7f3ad6988,689,7501338,7167069,7501338,7444354,7706295,8275172,773834,10.32,739,long,7892621,8272737,8272737,8275172,8275172,8112602,good,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,66.0,2,689
0f8613ca-5367-4e8f-8330-10db5e741144,689,8183307,7924438,8183307,8086320,8385743,9152789,969482,11.85,789,long,8588688,9110274,9110274,9130270,9130270,9152789,good,ЖК «Novella»,1,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,76.0,3,689
334744a8-132b-415a-94ae-945e02ff962b,689,4756940,4411511,4756940,4768726,4949341,4998426,241486,5.08,639,long,4969421,4998426,4998426,4980035,4980035,4933809,riskey,ЖК «Novella»,4-5-6,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,34.0,1,689
85a09177-fcd3-45af-87fe-513ae29ff9c4,689,5255106,4875038,5255106,5268279,5470143,5535300,280194,5.33,639,long,5499705,5535300,5535300,5514746,5514746,5440485,riskey,ЖК «Novella»,4-5-6,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,38.0,1,689
a779965e-c3f2-4ac5-b670-e26d915660d8,689,5925333,5510759,5925333,5929446,6174082,6312041,386708,6.53,639,long,6219523,6312041,6312041,6287701,6287701,6188750,riskey,ЖК «Novella»,4-5-6,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,45.0,1,689
82653222-db9b-45f4-93c7-2a8f6aa3cec2,689,7102832,6759881,7102832,7067617,7313683,7863560,760728,10.71,739,long,7488717,7861272,7861272,7863560,7863560,7710842,good,ЖК «Novella»,4-5-6,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,62.0,2,689
8dbeea00-4092-43b3-af81-b885bf7a8df6,689,7641526,7446480,7641526,7583679,7872584,8340762,699236,9.15,739,long,8018789,8338290,8338290,8340762,8340762,8175729,good,ЖК «Novella»,4-5-6,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,67.0,2,689
3dce20e0-c645-4904-b68b-e20afba0000b,689,7610859,7436683,7610859,7552149,7845949,8285071,674212,8.86,739,long,7994335,8282562,8282562,8285071,8285071,8117575,good,ЖК «Novella»,4-5-6,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,68.0,2,689
73a35b48-0be6-4509-a23c-9f111b3ea4c4,689,7934621,7694672,7934621,7870731,8162274,8899835,965214,12.16,739,long,8368093,8857076,8857076,8899835,8899835,8876437,good,ЖК «Novella»,4-5-6,2023-12-15,ООО «Специализированный застройщик АСК 6»,1-2,74.0,3,689
c9180321-56ed-421d-b398-5575eef5f9c9,141,3122487,3231689,3197285,3185606,3191052,3121995,-492,-0.02,91,short,3144414,3121995,3121995,3082196,3082196,3069960,bad,ЖК «Спортивный парк»,7,2022-06-15,ООО «АЛЬФА»,1-8,22.0,0,141
39caf245-566d-4c7f-b666-0d33c7a25698,141,3802556,3947735,3904270,3889936,3885688,3806897,4341,0.11,91,short,3826963,3806897,3806897,3727821,3727821,3707084,riskey,ЖК «Спортивный парк»,7,2022-06-15,ООО «АЛЬФА»,1-8,27.0,0,141
ef94979b-04f8-43a1-b45e-35d43e18bec5,141,4984146,5584198,5391410,5286177,5225066,4902397,-81749,-1.64,91,short,5094869,4902397,4902397,4732504,4732504,4706298,bad,ЖК «Спортивный парк»,7,2022-06-15,ООО «АЛЬФА»,1-8,45.0,1,141
b2b74069-2940-46d2-9aba-da4d21b1906f,141,4809137,5310167,5121125,5025246,4973563,4751549,-57588,-1.2,91,short,4853659,4751549,4751549,4596758,4596758,4582912,bad,ЖК «Спортивный парк»,7,2022-06-15,ООО «АЛЬФА»,1-8,41.0,1,141
d4547f12-a2ba-4b9b-bcc2-6ae70bf01609,141,5276581,5915416,5717460,5605211,5540026,5189381,-87200,-1.65,91,short,5416905,5189381,5189381,5008162,5008162,4974924,bad,ЖК «Спортивный парк»,8,2022-06-15,ООО «АЛЬФА»,1-8,48.0,1,141
d25044d5-2e0f-424f-855f-3f37e80b7c0d,141,5614623,6270864,6067132,5947868,5868172,5521973,-92650,-1.65,91,short,5737357,5521973,5521973,5343122,5343122,5303456,bad,ЖК «Спортивный парк»,8,2022-06-15,ООО «АЛЬФА»,1-8,51.0,1,141
08ff3284-03ee-4e09-8d04-af7731a41dec,233,3191052,3231689,3197285,3185606,3191052,3144414,-46638,-1.46,33,short,3144414,3121995,3121995,3082196,3082196,3069960,bad,ЖК «Спортивный парк»,10,2022-09-15,ООО «АЛЬФА»,1-8,22.0,0,233
ee7201af-5f5a-472d-bdeb-19ea93543aa7,233,3741773,3801523,3759667,3745864,3741773,3685223,-56550,-1.51,33,short,3685223,3665901,3665901,3589753,3589753,3569785,bad,ЖК «Спортивный парк»,10,2022-09-15,ООО «АЛЬФА»,1-8,26.0,0,233
f6c383f2-d343-4a69-8e8d-12a94f7d1042,233,4142539,4231591,4171938,4156542,4142539,4079464,-63075,-1.52,33,short,4079464,4052733,4052733,3969743,3969743,3947470,bad,ЖК «Спортивный парк»,10,2022-09-15,ООО «АЛЬФА»,1-8,29.0,0,233
5f004b43-b97c-41f9-abc1-3dd15f071a64,233,4973563,5310167,5121125,5025246,4973563,4853659,-119904,-2.41,33,short,4853659,4751549,4751549,4596758,4596758,4582912,bad,ЖК «Спортивный парк»,10,2022-09-15,ООО «АЛЬФА»,1-8,41.0,1,233
fe6cf696-0537-41f4-8955-01f1b9cddabd,233,5225066,5584198,5391410,5286177,5225066,5094869,-130197,-2.49,33,short,5094869,4902397,4902397,4732504,4732504,4706298,bad,ЖК «Спортивный парк»,10,2022-09-15,ООО «АЛЬФА»,1-8,45.0,1,233
7d3b91ef-af08-4dfc-b3da-be1d74a519fd,313,4832542,5166082,5026365,4947493,4832542,4832542,0,0.0,13,short,4817004,4719383,4719383,4617179,4617179,4567755,bad,ЖК «Зеленодар»,4Б,2023-09-15,"ООО «Модо Капитал», ",2,39.0,1,313
